E_Use,Y1,Y2,Y3,Y4
868464.6389746558,0.4,-0.5,1.4,-2.6
889814.5870771885,-0.05,1.3,-2.3,2.1
872474.0994468427,0.0,0.2,-1.7,3.0
884409.392142247,0.7,-2.7,0.6,2.8
874924.3473179193,-1.65,-0.2,0.6,2.5
853395.5861781074,1.15,-1.0,0.5,-1.3
886724.0784743279,-1.65,0.5,-0.3,2.9
849177.7151790846,1.35,-0.3,-1.4,0.7
845222.2907741886,0.6,-0.8,-0.3,1.0
897238.86637602,-2.7,-1.8,2.9,3.2
863758.6576353768,-0.5,0.7,0.9,-2.2
849928.3108896303,1.35,1.3,-0.9,-3.5
849145.1873908072,2.2,2.1,-3.0,-2.6
863902.171101638,2.5,-1.8,-2.0,2.6
867396.1586229576,2.55,-2.2,0.4,-1.5
896400.8514609052,-1.75,1.5,1.6,-2.7
897591.4441472831,-1.1,-3.0,2.5,3.2
878105.5957330742,-2.35,1.1,0.8,0.9
938712.7917735272,-1.8,2.4,-2.2,3.2
850207.3430350061,1.3,0.0,-1.6,0.6
863327.4697257708,2.0,-2.1,0.5,-0.8
845641.1259154584,2.0,0.0,-0.4,-3.2
841048.4450317407,3.05,-1.7,-1.0,-0.7
850555.9826738485,1.45,-1.3,0.3,-0.9
873060.2828734537,1.75,3.0,-3.4,-2.7
880058.0232695816,-1.7,-0.1,1.7,0.2
846481.954875678,2.15,0.3,-0.8,-3.3
935644.7382364093,-3.3,2.8,1.3,-1.6
866464.7543693531,-0.2,1.3,0.1,-2.4
897864.762290995,0.95,-3.0,2.1,-0.1
843252.9092882288,2.3,0.3,-1.1,-3.0
918152.4052476052,-2.2,0.5,2.9,-2.4
919319.5830663583,-3.15,2.4,0.2,1.1
927120.1892593558,-0.3,3.0,-3.4,1.4
905620.5140252188,-3.15,0.1,1.4,3.3
854663.8611869459,0.4,-0.9,-0.7,2.4
892980.7897569638,-2.55,-1.1,2.6,2.1
891629.2166199269,2.75,-3.5,-0.2,1.9
855403.2303003888,2.35,-0.9,-2.0,1.1
860972.6909759863,1.85,2.5,-3.1,-2.5
863471.089183658,-1.05,0.8,0.8,-1.1
876303.792194764,0.7,0.1,-2.3,3.0
865664.5607205109,3.25,-2.0,-2.3,2.1
902556.1781764418,-0.5,2.1,-2.3,1.4
926439.4014133913,-3.15,2.7,-0.1,1.1
906879.7077456906,0.0,2.4,-3.0,1.2
891885.8131387912,-2.4,1.1,0.3,2.0
893582.6002745547,0.25,-3.2,2.1,1.7
836395.6164890858,0.65,-0.1,0.0,-1.1
887021.5100550669,-1.65,1.4,-0.3,1.1
881242.4349084656,-1.95,1.0,1.3,-0.7
833315.8874795064,1.85,0.3,-1.5,-1.3
866143.0319350188,-0.6,1.4,-0.1,-1.4
858209.9180357374,1.6,2.4,-2.4,-3.2
886175.5603316602,-1.9,-0.1,1.9,0.2
855938.4669279316,3.0,1.1,-3.2,-1.8
928700.3093700545,-0.35,2.9,-3.4,1.7
870386.7144659117,-1.4,0.6,0.1,1.4
875885.6497540374,-0.85,-0.9,2.2,-0.9
911589.8955691082,-0.9,1.7,-2.2,2.8
895859.8977765085,-0.45,1.9,-2.1,1.3
906460.830679465,-1.05,-2.7,3.3,0.9
879466.407958819,2.55,-2.5,0.8,-1.7
838651.7231311469,0.65,0.5,-1.0,-0.3
861803.4812411384,0.4,0.8,-1.7,1.0
859135.4542072909,-0.9,-1.2,1.3,1.6
849487.6390306473,1.35,-1.4,-0.4,0.9
857956.3701699637,2.95,-1.0,-2.4,0.9
894077.5697103342,-0.75,3.2,-1.5,-1.9
926162.784103782,-1.3,2.5,-2.3,2.2
