E_Use,Y1,Y2,Y3,Y4
850026.584033463,-0.1,1.0,-0.7,-0.5
911592.4944482682,-1.8,2.8,0.3,-2.6
949168.767987241,-3.1,1.7,3.1,-3.4
844808.9577110704,3.2,-0.7,-2.1,-0.8
875206.393605371,1.8,0.2,-2.9,1.8
853600.1605531438,-0.4,0.0,-0.5,1.7
874923.5665947624,1.7,-2.8,0.5,1.3
880493.0635317717,-2.4,1.1,0.9,0.7
905332.238823102,-2.6,1.9,1.2,-1.1
899363.7081026513,0.0,-2.2,2.8,-1.1
846009.9796086219,0.5,0.9,-0.6,-1.7
887719.2467533528,-2.5,1.0,0.6,1.8
890479.5476246492,0.3,0.9,-2.7,3.0
949095.5179834884,-3.4,1.7,3.0,-2.7
856250.0436424103,2.6,-1.6,0.1,-2.1
902788.284773856,3.4,-3.3,1.1,-2.4
913913.2439527945,1.5,-2.9,2.5,-2.3
929349.686245174,1.2,-2.9,3.3,-3.1
909319.6611627772,-2.4,0.6,2.4,-1.3
865227.0296014982,-0.3,-0.1,1.3,-1.9
866846.7715981185,2.7,1.0,-3.4,-0.5
879153.7345880456,0.7,1.0,-2.7,2.0
880478.6008341856,-0.5,-2.4,1.6,2.5
914499.2697730508,-0.6,-2.9,3.5,0.1
949106.2869837097,-3.5,2.0,2.8,-2.7
888360.8099866356,-1.8,0.3,1.8,-0.7
926075.7604085809,-2.6,1.5,2.5,-2.8
878947.2678062421,1.5,-0.2,-2.7,2.9
854674.0019345183,0.2,-0.7,0.9,-0.8
851040.1992913384,-0.6,-0.3,0.0,1.7
860895.8920713526,2.3,2.5,-3.5,-2.6
914511.722545813,-1.4,-3.3,3.5,2.3
860163.8940008642,1.9,-1.0,-1.9,2.0
924313.1852251048,0.8,-3.0,3.2,-2.1
848298.112614665,2.4,-1.7,-0.2,-1.0
906738.8850520527,-3.3,0.4,1.4,3.0
946972.1796107067,-1.8,2.9,-2.5,2.8
893795.5259764161,1.4,-2.7,1.9,-1.1
890717.0335083317,-1.6,0.7,1.8,-1.8
894816.703122574,-0.9,-0.9,2.9,-2.3
906160.5463553469,-0.1,2.5,-2.9,0.9
845634.6365731078,1.7,-0.3,-1.6,0.4
849034.5514088381,2.3,-0.6,-1.9,0.4
911100.5370653734,-0.8,2.6,-2.3,0.9
857213.649217095,1.2,-0.9,0.7,-2.0
907612.7115555303,0.0,-2.5,3.1,-1.1
833340.514887066,0.5,0.5,-0.7,-0.6
889498.3561010695,0.1,2.5,-2.5,-0.3
886014.3519064233,0.6,2.3,-2.8,-0.3
899991.75107914,-3.0,-0.8,2.4,2.7
905114.5896698678,-3.2,1.3,0.9,1.9
918638.2626649381,-3.4,2.2,1.2,0.0
846812.8694325715,1.7,-1.3,-1.1,1.5
908567.1382434189,0.6,-1.8,2.9,-3.3
898378.7022943482,0.8,-2.1,2.4,-2.2
882852.7865201392,0.1,0.6,-2.2,3.0
865787.71328802,1.8,2.8,-3.2,-2.7
903668.0560613936,-2.0,2.4,0.3,-1.5
883888.7550444001,0.3,2.9,-2.5,-1.4
880825.3207180128,0.4,-2.6,1.0,2.4
906437.1946238349,-2.2,0.9,2.1,-1.7
863773.2069091063,0.4,1.8,-0.8,-2.8
856886.9692623342,-0.3,-0.5,1.2,-0.8
910122.1068004826,-0.1,-2.5,3.2,-1.2
862285.8309557929,1.3,-1.7,-0.9,2.6
881791.0593237975,-1.5,0.2,-0.3,3.1
864111.8932575237,0.9,-0.3,1.0,-3.1
900339.4497389933,-0.5,1.1,-2.2,3.1
901005.0238141908,-2.9,-0.4,2.5,1.6
926313.4947744434,-2.3,0.1,3.4,-2.4
886527.9908164889,-2.0,1.5,0.7,-0.4
919173.6140540625,1.1,-3.3,2.8,-1.2
910752.9824348944,-2.1,-0.9,3.3,-0.6
833968.6032653361,1.4,-0.6,-0.4,-0.8
883617.3906306871,-2.5,0.7,0.9,1.8
898001.7154442705,-1.4,0.7,2.1,-2.9
941634.2399402867,-2.9,3.5,0.6,-2.5
844625.7999063679,3.3,0.1,-2.5,-1.8
852040.3586846516,1.2,-0.7,-1.3,1.6
887076.9737224474,-0.3,1.2,-1.9,1.9
871851.9154377995,2.4,-2.4,-1.2,2.4
866206.7665399121,-1.2,0.3,0.0,1.7
887947.3184430226,-1.1,-2.3,2.6,1.5
934933.0697284658,0.9,-3.4,3.5,-2.0
860093.5345814509,2.2,-2.0,0.3,-1.0
875382.9837077393,2.6,0.6,-3.5,0.6
874956.6451957972,0.5,1.0,-2.4,1.9
909685.5758978945,-1.4,2.0,-1.6,2.0
919168.1389682401,-0.3,-3.5,3.2,1.1
874357.4413011763,-1.8,-1.6,2.1,2.6
876963.76773609,-0.3,2.0,-0.3,-2.7
896946.1366124362,-0.6,2.7,-2.0,-0.2
947579.8273453821,-3.3,2.0,2.8,-3.1
869981.654640129,-1.3,-0.1,0.0,2.8
879821.4522743403,0.7,3.3,-2.7,-2.5
895531.7483317094,2.1,-2.6,1.7,-2.3
859731.9478837082,-0.2,-0.9,-0.3,2.7
894755.7557594957,-1.6,-2.6,3.0,2.4
846808.8570048508,2.9,-1.1,-1.9,0.3
